	Num_nodes	Num_malicious	consensus_percent	num_outbound_links	max_unl	min_unl	unl_threshold	overlappingUNLs	min_c2c_latency	max_c2c_latency	min_e2c_latency	max_e2c_latency	convergence_time	unprocessed_messages	total_messages_sent	unprocessed_messages ratio	noConvergence	malicious nodes portion
212	200	46	80	10	30	27	13	0.9	5	200	5	50	1410	0	69361	0.0	1	23
213	200	46	80	10	30	27	13	0.91	5	200	5	50	1410	0	69361	0.0	1	23
214	200	46	80	10	30	28	14	0.95	5	200	5	50	1619	0	81053	0.0	1	23
215	200	46	80	10	30	29	14	0.99	5	200	5	50	536	14804	40778	0.266345	0	23
216	200	48	80	10	30	27	13	0.9	5	200	5	50	1594	0	86218	0.0	1	24
217	200	48	80	10	30	27	13	0.91	5	200	5	50	1594	0	86218	0.0	1	24
218	200	48	80	10	30	28	14	0.95	5	200	5	50	1432	0	72484	0.0	1	24
219	200	48	80	10	30	29	14	0.99	5	200	5	50	1850	0	102267	0.0	1	24
220	200	50	80	10	30	27	13	0.9	5	200	5	50	1699	0	86811	0.0	1	25
221	200	50	80	10	30	27	13	0.91	5	200	5	50	1699	0	86811	0.0	1	25
222	200	50	80	10	30	28	14	0.95	5	200	5	50	1510	0	72822	0.0	1	25
223	200	50	80	10	30	29	14	0.99	5	200	5	50	544	14858	41878	0.26188	0	25
224	200	52	80	10	30	27	13	0.9	5	200	5	50	538	14812	40432	0.26811999999999997	0	26
225	200	52	80	10	30	27	13	0.91	5	200	5	50	538	14812	40432	0.26811999999999997	0	26
226	200	52	80	10	30	28	14	0.95	5	200	5	50	1614	0	77583	0.0	1	26
227	200	52	80	10	30	29	14	0.99	5	200	5	50	420	14439	31277	0.315841	0	26
228	200	54	80	10	30	27	13	0.9	5	200	5	50	1475	0	71353	0.0	1	27
229	200	54	80	10	30	27	13	0.91	5	200	5	50	1475	0	71353	0.0	1	27
230	200	54	80	10	30	28	14	0.95	5	200	5	50	1444	0	77039	0.0	1	27
231	200	54	80	10	30	29	14	0.99	5	200	5	50	346	14684	25211	0.368066	0	27
232	200	56	80	10	30	27	13	0.9	5	200	5	50	347	14712	24605	0.374189	0	28
233	200	56	80	10	30	27	13	0.91	5	200	5	50	347	14712	24605	0.374189	0	28
234	200	56	80	10	30	28	14	0.95	5	200	5	50	427	14408	31301	0.315211	0	28
